Topic,Count,Name,Representation,Representative_Docs
-1,205,-1_iphone air_app_camera_air,"['iphone air', 'app', 'camera', 'air', 'iphone', '18', 'iphone 18', 'new', 'pro', '9to5mac']","['gave iphone air admirable effort apple mark ellis mac oclock medium gave iphone air admirable effort apple mark ellis mac oclock medium', 'iphone air honeymoon period might already mark ellis mac oclock medium iphone air honeymoon period might already mark ellis mac oclock medium', 'apple iphone 18 pro apple iphone 18 pro max launch leaks reveal price battery design mashable india apple iphone 18 pro apple iphone 18 pro max launch leaks reveal price battery design mashable india']"
0,90,0_battery_iphone battery_battery life_life,"['battery', 'iphone battery', 'battery life', 'life', 'draining', 'ios', 'settings', 'iphones battery', 'drain', 'longer']","['iphone battery draining fast 8 iphone battery tips make last day cnet iphone battery draining fast 8 iphone battery tips make last day cnet', 'draining fast ios 26 update brings battery life woes iphone users analytics insight draining fast ios 26 update brings battery life woes iphone users analytics insight', 'apples ios 26 draining battery life iphones firstpost apples ios 26 draining battery life iphones firstpost']"
1,43,1_max review_review_17 review_17 pro,"['max review', 'review', '17 review', '17 pro', 'max', 'pro max', 'iphone 17', '17', 'phones', 'pro']","['apple iphone 17 pro max review tom guide apple iphone 17 pro max review tom guide', 'apple iphone 17 pro max review ign apple iphone 17 pro max review ign', 'apple iphone 17 pro max review ign southeast asia apple iphone 17 pro max review ign southeast asia']"
2,30,2_performance_a19_a19 pro_faster,"['performance', 'a19', 'a19 pro', 'faster', 'reveal', 'wccftech', '17e', 'iphone 17e', 'speed', 'pro']","['iphone 17e benchmarks reveal a19 chip performance tiny catch macrumors iphone 17e benchmarks reveal a19 chip performance tiny catch macrumors', 'iphone 17 pro leaked a19 pro benchmarks reveal incredible performance results far yahoo tech iphone 17 pro leaked a19 pro benchmarks reveal incredible performance results far yahoo tech', 'iphone 17 pro a19 pro benchmarks show surprising 13 performance jump iphone 16 pro outclass m4 macbook pro single core wccftech iphone 17 pro a19 pro benchmarks show surprising 13 performance jump iphone 16 pro outclass m4 macbook pro single core wccftech']"
3,24,3_phonearena_phonearena iphone_mobile_switching,"['phonearena', 'phonearena iphone', 'mobile', 'switching', 'xiaomi', 'verizon', 'problems', 'china', 'phonearena apple', 'smartphones']","['iphone 17 pro users report strange charging issue apple still hasnt addressed phonearena iphone 17 pro users report strange charging issue apple still hasnt addressed phonearena', 'iphone 17 pro may problems mobile despite ios update fix cellular issues phonearena iphone 17 pro may problems mobile despite ios update fix cellular issues phonearena', 'iphone 17 cellular issues mobile verizon others phonearena iphone 17 cellular issues mobile verizon others phonearena']"
4,24,4_9to5mac ios_9to5mac_iphone 9to5mac_26,"['9to5mac ios', '9to5mac', 'iphone 9to5mac', '26', 'ios 26', '26 new', 'music', '9to5mac apple', 'ios', 'iphone features']","['ios 26 3 new features iphone 9to5mac ios 26 3 new features iphone 9to5mac', 'ios 26 4 new features iphone 9to5mac ios 26 4 new features iphone 9to5mac', 'ios 26 2 release date heres new iphone features coming 9to5mac ios 26 2 release date heres new iphone features coming 9to5mac']"
5,23,5_16e vs_16e_iphone 16e_vs iphone,"['16e vs', '16e', 'iphone 16e', 'vs iphone', 'vs', 'cnet iphone', 'iphone 16', '16', 'cnet', '16 pro']","['iphone 16e vs iphone 16 get 200 forbes iphone 16e vs iphone 16 get 200 forbes', 'iphone 16e vs iphone 15 real bargain techradar iphone 16e vs iphone 15 real bargain techradar', 'iphone 16e vs iphone 15 pro affordable alternatives iphone 16 cnet iphone 16e vs iphone 15 pro affordable alternatives iphone 16 cnet']"
6,22,6_stores_gate_17 pro_17,"['stores', 'gate', '17 pro', '17', 'iphone 17', 'creative', 'apple says', 'bloq', 'hit', 'creative bloq']","['iphone 17 iphone 17 pro iphone 17 pro max sale apple fans reportedly spot scratches despite high price video goes viral financial express iphone 17 iphone 17 pro iphone 17 pro max sale apple fans reportedly spot scratches despite high price video goes viral financial express', 'iphone 17 pro pro max models scratches bodies complain many users social media etv bharat iphone 17 pro pro max models scratches bodies complain many users social media etv bharat', 'scratchgate apple says scratches iphone 17 pros stores bgr com scratchgate apple says scratches iphone 17 pros stores bgr com']"
7,22,7_macrumors ios_macrumors_coming soon_soon,"['macrumors ios', 'macrumors', 'coming soon', 'soon', 'macworld ios', 'macworld', 'ios 26', '26', 'ios', 'coming']","['ios 26 2 1 update coming soon iphones macrumors ios 26 2 1 update coming soon iphones macrumors', 'ios 26 2 coming soon 8 new features iphone macrumors ios 26 2 coming soon 8 new features iphone macrumors', 'ios 26 0 2 update iphones coming soon macrumors ios 26 0 2 update iphones coming soon macrumors']"
8,21,8_update_rollout_26 rollout_ios 26,"['update', 'rollout', '26 rollout', 'ios 26', '26', 'ios', 'india ios', 'soon', '26 update', 'know']","['ios 26 1 update coming soon heres whats new iphones get mashable india ios 26 1 update coming soon heres whats new iphones get mashable india', 'ios 26 rollout iphone get apple latest os update times india ios 26 rollout iphone get apple latest os update times india', 'ios 26 2 rollout begin soon heres cant skip iphone update mashable india ios 26 2 rollout begin soon heres cant skip iphone update mashable india']"
9,21,9_tom guide_tom_guide_using iphone,"['tom guide', 'tom', 'guide', 'using iphone', 'using', 'pros', 'cons', 'pros cons', 'guide iphone', 'like tom']","['using iphone 15 pro max year plan upgrading iphone 17 pro max tom guide using iphone 15 pro max year plan upgrading iphone 17 pro max tom guide', 'using iphone 17 pro month like tom guide using iphone 17 pro month like tom guide', 'using iphone 17 month pros cons tom guide using iphone 17 month pros cons tom guide']"
10,21,10_talkingtechandaudio_talkingtechandaudio com_com iphone_16e,"['talkingtechandaudio', 'talkingtechandaudio com', 'com iphone', '16e', 'iphone 16e', 'com', 'hours', 'fix', 'time', 'editing']","['iphone 17 pro max whats point talkingtechandaudio com iphone 17 pro max whats point talkingtechandaudio com', 'iphone 16e living full time talkingtechandaudio com iphone 16e living full time talkingtechandaudio com', 'iphone 16e honest iphone defying norm talkingtechandaudio com iphone 16e honest iphone defying norm talkingtechandaudio com']"
11,20,11_orange_colors_turning_fans,"['orange', 'colors', 'turning', 'fans', 'boring', 'options', 'apple fans', 'macworld', 'world', 'want']","['iphone 17 pro final rumors hint bold orange blue colors better camera capabilities performance upgrades wccftech iphone 17 pro final rumors hint bold orange blue colors better camera capabilities performance upgrades wccftech', 'iphone 17 pro review orange glad youve gone pro six colors iphone 17 pro review orange glad youve gone pro six colors', 'apple fans freaking iphone 17 pro maxs cosmic orange colour turning pink experts reveal truth techlusive apple fans freaking iphone 17 pro maxs cosmic orange colour turning pink experts reveal truth techlusive']"
12,18,12_forbes apple_prices_iphone 16_16,"['forbes apple', 'prices', 'iphone 16', '16', 'forbes', '16 pro', 'price', 'apple iphone', 'cut', '16 iphone']","['apple iphone 16 pro iphone 16 pro max prices slashed major sale forbes apple iphone 16 pro iphone 16 pro max prices slashed major sale forbes', 'apple iphone 16 pro iphone 16 pro max prices cut amazon rare deals forbes apple iphone 16 pro iphone 16 pro max prices cut amazon rare deals forbes', 'apple iphone 16 iphone 16 pro iphone 15 prices cut new deals forbes apple iphone 16 iphone 16 pro iphone 15 prices cut new deals forbes']"
13,18,13_vs iphone_vs_pro vs_17 vs,"['vs iphone', 'vs', 'pro vs', '17 vs', '9to5mac iphone', 'compared', 'worth', 'iphone 16', '16 pro', '16']","['iphone 17 pro vs iphone 15 pro compared models worth upgrading zdnet iphone 17 pro vs iphone 15 pro compared models worth upgrading zdnet', 'iphone 17 pro vs iphone 15 pro worth going new two 9to5mac iphone 17 pro vs iphone 15 pro worth going new two 9to5mac', 'iphone 17 vs iphone 16 pro similar displays distinctly different packages 9to5mac iphone 17 vs iphone 16 pro similar displays distinctly different packages 9to5mac']"
14,18,14_iphone 15_15_phonearena_phonearena iphone,"['iphone 15', '15', 'phonearena', 'phonearena iphone', '15 pro', 'differences', 'techspot', 'pros cons', 'cons', 'vs']","['iphone 15 pro vs iphone 15 regular iphone experience sufficient phonearena iphone 15 pro vs iphone 15 regular iphone experience sufficient phonearena', 'iphone 17 pro max vs iphone 15 pro max major differences explained phonearena iphone 17 pro max vs iphone 15 pro max major differences explained phonearena', 'iphone 16 pro vs iphone 15 pro differences phonearena iphone 16 pro vs iphone 15 pro differences phonearena']"
15,18,15_26 update_news_recommends_update,"['26 update', 'news', 'recommends', 'update', 'ios 26', '26', 'security', 'ios', 'improvements', 'iphone ios']","['apple rolls background security improvements update ios 26 3 beta testers appleosophy apple rolls background security improvements update ios 26 3 beta testers appleosophy', 'apple releases ios 26 1 major security improvements new features iphone users fox news apple releases ios 26 1 major security improvements new features iphone users fox news', 'ios 26 2 yet apple recommends ios 26 update ai security palm beach post ios 26 2 yet apple recommends ios 26 update ai security palm beach post']"
16,18,16_cook_tim cook_tim_little,"['cook', 'tim cook', 'tim', 'little', 'problem', 'india', 'elon', 'hike', 'price hike', 'indian express']","['donald trump little problem tim cook big one apple business news hindustan times donald trump little problem tim cook big one apple business news hindustan times', 'trump want apple making iphones india little problem tim cook fox business trump want apple making iphones india little problem tim cook fox business', 'trump says little problem tim cook apples india production guardian trump says little problem tim cook apples india production guardian']"
17,17,17_mashable india_india_mashable_series,"['mashable india', 'india', 'mashable', 'series', '17 series', 'india apple', 'india iphone', 'reuters', 'launch', '2026']","['iphone 17 series leaks apple might store us september mashable india iphone 17 series leaks apple might store us september mashable india', 'apple set unveil iphone 17 series september expect mashable india apple set unveil iphone 17 series september expect mashable india', 'apple iphone 17 series debut next month expected costlier iphone 16 mashable india apple iphone 17 series debut next month expected costlier iphone 16 mashable india']"
18,16,18_air_lineup_17 air_air vs,"['air', 'lineup', '17 air', 'air vs', '17 lineup', 'port', 'yahoo finance', 'finance', 'iphone air', 'yahoo']","['iphone 17 air vs iphone 17 pro apple admits choice tough mashable india iphone 17 air vs iphone 17 pro apple admits choice tough mashable india', 'apple iphone air iphone 17 review apple strongest lineup years yahoo finance apple iphone air iphone 17 review apple strongest lineup years yahoo finance', 'iphone review superthin air vs iphone 17 lineup wsj iphone review superthin air vs iphone 17 lineup wsj']"
19,16,19_iphone fold_fold_camera_reveals,"['iphone fold', 'fold', 'camera', 'reveals', 'leak reveals', 'display', 'tipped', 'leak', '48mp cameras', 'cutout']","['apple iphone fold cad renders leak book style design dual cameras 7 8 inch display tipped ndtv profit apple iphone fold cad renders leak book style design dual cameras 7 8 inch display tipped ndtv profit', 'everything know iphone fold leaked details giant screen 48mp cameras shocking features international business times uk everything know iphone fold leaked details giant screen 48mp cameras shocking features international business times uk', 'apple iphone fold leak reveals 24mp hidden camera screen first time mashable india apple iphone fold leak reveals 24mp hidden camera screen first time mashable india']"
20,16,20_update_latest_update ios_latest ios,"['update', 'latest', 'update ios', 'latest ios', 'software fix', 'causing problems', 'billion iphones', 'update iphone', 'causing', 'issues']","['ios 26 2 1 update causing problems iphone users heres techlusive ios 26 2 1 update causing problems iphone users heres techlusive', 'update ios 26 2 1 causing serious problems including crashes freezes tom guide update ios 26 2 1 causing serious problems including crashes freezes tom guide', 'apple issues urgent software fix affecting 2 billion iphones techrepublic apple issues urgent software fix affecting 2 billion iphones techrepublic']"
21,16,21_warning_users forbes_iphone users_forbes ios,"['warning', 'users forbes', 'iphone users', 'forbes ios', 'forbes', 'users', 'ios 18', 'warning iphone', 'iphone warning', '18']","['ios 18 6 2update warning issued iphone users forbes ios 18 6 2update warning issued iphone users forbes', 'ios 18 4update warning issued iphone users forbes ios 18 4update warning issued iphone users forbes', 'ios 18 6update warning issued iphone users forbes ios 18 6update warning issued iphone users forbes']"
22,16,22_chamber_vapor_vapor chamber_17 pro,"['chamber', 'vapor', 'vapor chamber', '17 pro', 'heres know', 'heat', 'pro 9to5mac', 'new apple', 'massive', 'performance']","['heres know iphones vapor chamber cooling system computerworld heres know iphones vapor chamber cooling system computerworld', 'new apple video highlights vapor chamber liquid cooling iphone 17 pro 9to5mac new apple video highlights vapor chamber liquid cooling iphone 17 pro 9to5mac', 'iphone 17 pro max sustained performance tested vapor chamber cooling actually work tom guide iphone 17 pro max sustained performance tested vapor chamber cooling actually work tom guide']"
23,15,23_review_iphone 16e_16e_review year,"['review', 'iphone 16e', '16e', 'review year', 'later', 'months', 'great', 'review months', 'months later', 'appleinsider iphone']","['iphone 16 pro review one year later buy iphone 17 get 16 pro instead appleinsider iphone 16 pro review one year later buy iphone 17 get 16 pro instead appleinsider', 'iphone 16 review one year later still great phone years appleinsider iphone 16 review one year later still great phone years appleinsider', 'iphone 16e review three months later still great value compromises appleinsider iphone 16e review three months later still great value compromises appleinsider']"
24,15,24_island_images_dynamic_dynamic island,"['island', 'images', 'dynamic', 'dynamic island', 'look', 'shows', '17 air', 'smaller dynamic', 'image', 'new images']","['iphone 18 pro rumoured feature larger dynamic island display area technave iphone 18 pro rumoured feature larger dynamic island display area technave', 'last minute iphone 17 pro rumors hint smaller dynamic island 8x zoom bgr com last minute iphone 17 pro rumors hint smaller dynamic island 8x zoom bgr com', 'iphone 18 smaller dynamic island cameras go screen bgr com iphone 18 smaller dynamic island cameras go screen bgr com']"
25,15,25_big billion_flipkart_flipkart big_billion,"['big billion', 'flipkart', 'flipkart big', 'billion', 'billion days', 'sale', 'days', 'big', 'orders', '16 iphone']","['flipkart big billion days iphone 16 iphone 16 pro orders allegedly getting cancelled kalingatv flipkart big billion days iphone 16 iphone 16 pro orders allegedly getting cancelled kalingatv', 'iphone 16 iphone 16 pro orders cancelled flipkart big billion days sale buyers call scam moneycontrol com iphone 16 iphone 16 pro orders cancelled flipkart big billion days sale buyers call scam moneycontrol com', 'flipkart big billion days 2025 sale iphone 16 iphone 16 pro orders cancelled netizens call scam zee news flipkart big billion days 2025 sale iphone 16 iphone 16 pro orders cancelled netizens call scam zee news']"
26,14,26_pixel_10_pixel 10_10 pro,"['pixel', '10', 'pixel 10', '10 pro', 'galaxy', 'camera', 'pro vs', 'vs', 'android police', 'police']","['put pixel 10 vs iphone 16 10 round camera shoot one get tom guide put pixel 10 vs iphone 16 10 round camera shoot one get tom guide', 'used google pixel 10 pro xl iphone 17 pro max believe one prefer android police used google pixel 10 pro xl iphone 17 pro max believe one prefer android police', 'iphone 17 pro vs pixel 10 pro xl pitting phone camera royalty cnet iphone 17 pro vs pixel 10 pro xl pitting phone camera royalty cnet']"
27,14,27_camera_48mp_upgrades_camera features,"['camera', '48mp', 'upgrades', 'camera features', 'chip 48mp', 'camera upgrades', 'a19', 'camera battery', 'new camera', 'specs']","['iphone 17 vs iphone 16 camera battery screen size performance questions answered technology news hindustan times iphone 17 vs iphone 16 camera battery screen size performance questions answered technology news hindustan times', 'xiaomi 17 vs iphone 17 design performance camera battery price compared technology news hindustan times xiaomi 17 vs iphone 17 design performance camera battery price compared technology news hindustan times', 'apple launches iphone 17 series full specs ai features design a19 chip 48mp camera price india need know newsx apple launches iphone 17 series full specs ai features design a19 chip 48mp camera price india need know newsx']"
28,14,28_forbes ios_iphone update_forbes_release,"['forbes ios', 'iphone update', 'forbes', 'release', 'know apples', '26 release', 'release date', 'update', 'date', 'apples']","['ios 26 3 release date exactly next crucial iphone update arrive forbes ios 26 3 release date exactly next crucial iphone update arrive forbes', 'apple ios 26 3 release date first major iphone update 2026 almost forbes apple ios 26 3 release date first major iphone update 2026 almost forbes', 'ios 26 releasewhat know apples radical new iphone update forbes ios 26 releasewhat know apples radical new iphone update forbes']"
29,14,29_leak_leaker_design changes_sportskeeda,"['leak', 'leaker', 'design changes', 'sportskeeda', 'sportskeeda tech', 'leak suggests', 'bgr com', 'bgr', 'changes', 'leaks']","['leak suggests ios 26 3 makes porting iphone android effortless sportskeeda tech leak suggests ios 26 3 makes porting iphone android effortless sportskeeda tech', 'leak suggests apple testing background security improvement update ios 26 3 macos tahoe 26 3 sportskeeda tech leak suggests apple testing background security improvement update ios 26 3 macos tahoe 26 3 sportskeeda tech', 'iphone 17 pro case leak corroborates design changes dashes others bgr com iphone 17 pro case leak corroborates design changes dashes others bgr com']"
30,13,30_glass_liquid glass_liquid_glass design,"['glass', 'liquid glass', 'liquid', 'glass design', '26 beta', 'beta', 'update brings', 'download', 'brings', 'techcrunch']","['whatsapps new iphone update brings liquid glass design also strange mute bug techlusive whatsapps new iphone update brings liquid glass design also strange mute bug techlusive', 'apple releases ios 26 2 beta 2 liquid glass design measure improvements apps smartprix com apple releases ios 26 2 beta 2 liquid glass design measure improvements apps smartprix com', 'ios 26 download update iphone liquid glass mashable ios 26 download update iphone liquid glass mashable']"
31,13,31_business times_international business_times uk_international,"['business times', 'international business', 'times uk', 'international', 'times', 'uk', 'battery', 'business', 'half', 'tipped feature']","['first ugly design iphone 17 faces battery backlash ios 26 drains devices within hours international business times uk first ugly design iphone 17 faces battery backlash ios 26 drains devices within hours international business times uk', 'iphone 17 air alleged ultra thin redesign groundbreaking battery tech revealed international business times uk iphone 17 air alleged ultra thin redesign groundbreaking battery tech revealed international business times uk', 'bigger better stronger iphone 17 pro max tipped feature apple powerful battery yet international business times uk bigger better stronger iphone 17 pro max tipped feature apple powerful battery yet international business times uk']"
32,12,32_9to5mac iphone_9to5mac_month_features coming,"['9to5mac iphone', '9to5mac', 'month', 'features coming', 'coming', '9to5mac months', 'trouble', 'upgrading iphone', 'pro im', 'max 9to5mac']","['iphone 17 coming soon three long awaited features 9to5mac iphone 17 coming soon three long awaited features 9to5mac', 'iphone 17 air seven new features coming next month 9to5mac iphone 17 air seven new features coming next month 9to5mac', 'iphone 17 pro seven new features coming next month 9to5mac iphone 17 pro seven new features coming next month 9to5mac']"
33,12,33_macrumors_macrumors iphone_features macrumors_features,"['macrumors', 'macrumors iphone', 'features macrumors', 'features', 'advice', 'new features', '12', 'launching', 'macrumors apple', 'buy']","['iphone 17 pro coming soon 12 new features macrumors iphone 17 pro coming soon 12 new features macrumors', 'iphone 17 pro launching next month 12 new features macrumors iphone 17 pro launching next month 12 new features macrumors', 'iphone 17 pro launching three months 12 new features macrumors iphone 17 pro launching three months 12 new features macrumors']"
34,12,34_anker_charging_anker iphone_explained,"['anker', 'charging', 'anker iphone', 'explained', 'qi2', 'charge', 'working', 'fast', 'need know', 'battery life']","['iphone wireless charging working causes fixes anker iphone wireless charging working causes fixes anker', 'iphone 17 battery life explained performance charging care tips anker iphone 17 battery life explained performance charging care tips anker', 'iphone 15 qi qi2 enabled wireless charging explained anker iphone 15 qi qi2 enabled wireless charging explained anker']"
35,11,35_business insider_insider_iphone feature_insider iphone,"['business insider', 'insider', 'iphone feature', 'insider iphone', 'business', 'answer', 'messages', 'york post', 'post', 'feature']","['iphone comes built white noise machine 3 cool things may know business insider iphone comes built white noise machine 3 cool things may know business insider', 'iphone air answer biggest problem business insider iphone air answer biggest problem business insider', 'iphone feature threatening ruin life careful business insider iphone feature threatening ruin life careful business insider']"
36,11,36_geeky_geeky gadgets_gadgets_iphone performance,"['geeky', 'geeky gadgets', 'gadgets', 'iphone performance', 'shortcut', 'boost iphone', 'tricks', 'mode', 'boost', 'performance']","['activate iphone beast mode guide peak performance geeky gadgets activate iphone beast mode guide peak performance geeky gadgets', 'ultimate iphone performance masterclass unlock true speed responsiveness geeky gadgets ultimate iphone performance masterclass unlock true speed responsiveness geeky gadgets', '5 genius tricks boost iphone performance ios 26 geeky gadgets 5 genius tricks boost iphone performance ios 26 geeky gadgets']"
37,11,37_leak_minute_17 air_esim,"['leak', 'minute', '17 air', 'esim', 'capacities', 'leak shows', 'battery capacities', 'air leak', 'minute iphone', 'new leak']","['last minute iphone 17 pro leak lists key performance battery features bgr com last minute iphone 17 pro leak lists key performance battery features bgr com', 'last minute leak shows iphone 17 pro max battery finally bigger samsung flagship pc guide last minute leak shows iphone 17 pro max battery finally bigger samsung flagship pc guide', 'last minute iphone 17 air leak offers hope long lasting battery bgr com last minute iphone 17 air leak offers hope long lasting battery bgr com']"
38,11,38_selfie_selfie camera_camera_engadget iphone,"['selfie', 'selfie camera', 'camera', 'engadget iphone', 'pro camera', 'macrumors iphone', 'macrumors', 'cameras', 'engadget', '17 new']","['iphone 17 pro max rumored major telephoto camera upgrade macrumors iphone 17 pro max rumored major telephoto camera upgrade macrumors', 'iphone 17 square selfie camera bigger deal think engadget iphone 17 square selfie camera bigger deal think engadget', 'iphone 17 new selfie camera lets take group shots without rotating phone engadget iphone 17 new selfie camera lets take group shots without rotating phone engadget']"
39,11,39_memes_netizens_viral_indian express,"['memes', 'netizens', 'viral', 'indian express', 'indian', 'express', 'reveal', 'launch', 'india', 'curlytales']","['apple launches iphone 17 lineup sleek new air memes flood x iphone 12 kitne ka hoga ji indian express apple launches iphone 17 lineup sleek new air memes flood x iphone 12 kitne ka hoga ji indian express', 'netizens flood x hilarious memes iphone 17 reveal tribune india netizens flood x hilarious memes iphone 17 reveal tribune india', 'kidney enough netizens flood x hilarious memes iphone 17 reveal new indian express kidney enough netizens flood x hilarious memes iphone 17 reveal new indian express']"
40,10,40_twitter_beebom_change_engadget,"['twitter', 'beebom', 'change', 'engadget', 'tab twitter', 'end', 'exclusive', 'delete', 'remove', 'permanently']","['use twitter spaces complete guide beebom use twitter spaces complete guide beebom', 'download gif twitter beebom download gif twitter beebom', 'change x icon back twitter bird beebom change x icon back twitter bird beebom']"
41,10,41_iphone camera_fast_camera app_camera,"['iphone camera', 'fast', 'camera app', 'camera', 'app', 'iphones', 'plants', 'excellent', 'smart', 'wallet']","['google made iphone camera app might even better apples lifehacker google made iphone camera app might even better apples lifehacker', 'adobes new computational iphone camera app looks incredible petapixel adobes new computational iphone camera app looks incredible petapixel', 'new app makes using iphone camera tons fun fast company new app makes using iphone camera tons fun fast company']"
42,10,42_cases_15_iphone 15_best iphone,"['cases', '15', 'iphone 15', 'best iphone', '15 pro', 'best', '2025', '15 iphone', '2026', 'techradar']","['best iphone 15 pro cases 2024 15 favorites digital trends best iphone 15 pro cases 2024 15 favorites digital trends', 'best iphone 15 iphone 15 pro cases 2026 cnet best iphone 15 iphone 15 pro cases 2026 cnet', 'best iphone 15 iphone 15 pro cases 2025 macworld best iphone 15 iphone 15 pro cases 2025 macworld']"
43,10,43_camera_fix iphone_camera app_video,"['camera', 'fix iphone', 'camera app', 'video', '9to5google', 'app users', 'apple confirms', 'issues appleinsider', 'broke', 'confirms']","['iphone 17 models get dual capture video recording apple camera app 9to5mac iphone 17 models get dual capture video recording apple camera app 9to5mac', 'apple confirms new iphones camera problem macworld apple confirms new iphones camera problem macworld', 'apple release software fix iphone air iphone 17 pro camera issues appleinsider apple release software fix iphone air iphone 17 pro camera issues appleinsider']"
44,10,44_photography_amateur_amateur photographer_photographer,"['photography', 'amateur', 'amateur photographer', 'photographer', 'adobe', 'use iphone', 'fstoppers', 'quality', 'fstoppers iphone', 'use']","['iphone good street photography camera fstoppers iphone good street photography camera fstoppers', 'use iphone real camera anymore amateur photographer use iphone real camera anymore amateur photographer', 'choose use iphone photography every camera phone amateur photographer choose use iphone photography every camera phone amateur photographer']"
45,10,45_air review_iphone air_review_stuff,"['air review', 'iphone air', 'review', 'stuff', 'stuff tv', 'air', 'tv', 'reviews', 'rest cnet', 'rest']","['iphone air review aspirational iphone pro buy appleinsider iphone air review aspirational iphone pro buy appleinsider', 'iphone air review apple interesting phone everyone pcmag iphone air review apple interesting phone everyone pcmag', 'apple iphone air review love might phone stuff tv apple iphone air review love might phone stuff tv']"
46,9,46_macworld_macworld iphone_need know_know,"['macworld', 'macworld iphone', 'need know', 'know', 'learn', 'iphone 12', 'tool', 'macstories', 'end', 'plateau']","['iphone 17 pro 11 features push limits apples high end phone macworld iphone 17 pro 11 features push limits apples high end phone macworld', 'ios 18 superguide everything need know macworld ios 18 superguide everything need know macworld', 'iphone 17e everything need know buy one macworld iphone 17e everything need know buy one macworld']"
