Topic,Count,Name,Representation,Representative_Docs
47,9,47_details_prices_know far_know,"['details', 'prices', 'know far', 'know', 'leaked', 'event', 'launch', 'far', 'need know', '17 series']","['iphone 17 countdown kicks launch date performance price know far gulf news iphone 17 countdown kicks launch date performance price know far gulf news', 'iphone 17 pro max details leaked online price tipped heres know far techlusive iphone 17 pro max details leaked online price tipped heres know far techlusive', 'iphone 17 series launch september major redesign new air model india pricing details republic world iphone 17 series launch september major redesign new air model india pricing details republic world']"
48,9,48_choose_forbes_ios 18_forbes ios,"['choose', 'forbes', 'ios 18', 'forbes ios', '18 forbes', '26 ios', '18', 'iphone update', 'ios', 'reasons']","['apple ios 18 7 2 iphone update ios 26 choose forbes apple ios 18 7 2 iphone update ios 26 choose forbes', 'ios 26 1 ios 18 7 2heres new iphone update choose forbes ios 26 1 ios 18 7 2heres new iphone update choose forbes', 'ios 26 2 ios 18 7 3heres new iphone update choose forbes ios 26 2 ios 18 7 3heres new iphone update choose forbes']"
49,9,49_keyboard_complaints_user_fix,"['keyboard', 'complaints', 'user', 'fix', 'windows', 'slashgear', 'tab apple', 'slashgear ios', 'ios 26', 'older iphone']","['apple ios 26 subtly trolled windows internet says looks like windows vista mkbhd complains financial express apple ios 26 subtly trolled windows internet says looks like windows vista mkbhd complains financial express', 'ios 26 problems user complaints include lag clunky app redesigns mashable ios 26 problems user complaints include lag clunky app redesigns mashable', '4 tips helping fix ios 26 keyboard complaints issues os x daily 4 tips helping fix ios 26 keyboard complaints issues os x daily']"
50,9,50_camera feature_camera_iphone camera_finally,"['camera feature', 'camera', 'iphone camera', 'finally', 'launches', 'camera app', 'new ios', 'ios 26', 'ive using', 'iphone photography']","['iphone camera app looks different ios 26 use yahoo tech iphone camera app looks different ios 26 use yahoo tech', 'secret iphone camera feature make sure lens always photo ready cnet secret iphone camera feature make sure lens always photo ready cnet', 'ive using new ios 26 camera app finally address biggest annoyance tom guide ive using new ios 26 camera app finally address biggest annoyance tom guide']"
51,9,51_event_september_2025_2025 iphone,"['event', 'september', '2025', '2025 iphone', 'macgasm', 'apple event', '17 lineup', 'apples iphone', 'lineup', 'new models']","['expect apples iphone 17 lineup september macgasm expect apples iphone 17 lineup september macgasm', 'everything apple announced september 2025 iphone 17 keynote event express tribune everything apple announced september 2025 iphone 17 keynote event express tribune', 'apples september 2025 event reveals iphone 17 lineup macgasm apples september 2025 event reveals iphone 17 lineup macgasm']"
52,9,52_twitter_twitter iphone_working iphone_iphone mac,"['twitter', 'twitter iphone', 'working iphone', 'iphone mac', 'posts', 'mac observer', 'observer', 'working', 'macrumors', 'mac']","['x twitter iphone web resolved macrumors x twitter iphone web resolved macrumors', 'x twitter iphone web macrumors x twitter iphone web macrumors', 'fix x twitter working iphone mac observer fix x twitter working iphone mac observer']"
53,9,53_mac observer_observer_mac_working,"['mac observer', 'observer', 'mac', 'working', 'problems reported', '26 problems', 'iphone users', 'reported', 'observer fix', 'users say']","['fix face id working ios 26 2 mac observer fix face id working ios 26 2 mac observer', 'ios 26 2 1 problems reported iphone users update mac observer ios 26 2 1 problems reported iphone users update mac observer', 'ios 26 3 problems reported iphone users say far mac observer ios 26 3 problems reported iphone users say far mac observer']"
54,9,54_focus_27_ios 27_ai,"['focus', '27', 'ios 27', 'ai', 'performance', 'quality', 'year', 'reportedly', 'apple ios', 'report']","['report apple focus performance improvements ai features next year ios 27 thurrott com report apple focus performance improvements ai features next year ios 27 thurrott com', 'apple focus quality underlying performance ios 27 next year report 9to5mac apple focus quality underlying performance ios 27 next year report 9to5mac', 'apple ios 27 reportedly focus quality performance ai upgrades tech times apple ios 27 reportedly focus quality performance ai upgrades tech times']"
55,9,55_deal_iphone 16_grab_16,"['deal', 'iphone 16', 'grab', '16', 'free', 'new phone', '000', 'bgr com', 'bgr', 'amazing']","['deal alert iphone 16 pro discount offer lets buy rs 60 000 news18 deal alert iphone 16 pro discount offer lets buy rs 60 000 news18', 'grab new phone free thanks mobiles best deal ever iphone 16 rolling stone grab new phone free thanks mobiles best deal ever iphone 16 rolling stone', 'iphone 16 black friday deal grab brand new phone 40 000 croma newsx iphone 16 black friday deal grab brand new phone 40 000 croma newsx']"
56,9,56_service_iphone 14_14_plans,"['service', 'iphone 14', '14', 'plans', 'powered', 'free', 'com apple', 'iphones', '18 pro', 'iphone 18']","['apple spacex sky deal apples next pro move might actually orbital apple talks elon spacex bring starlink satellite service future iphones starting iphone 18 pro 2026 next signal bar might come orbit n x com apple spacex sky deal apples next pro move might actually orbital apple talks elon spacex bring starlink satellite service future iphones starting iphone 18 pro 2026 next signal bar might come orbit n x com', 'apple talks spacex add starlink direct cell iphone 18 pro information reports apple negotiating spacex integrate starlink satellite connectivity 2026 iphone 18 pro models going enable direct cell service x com apple talks spacex add starlink direct cell iphone 18 pro information reports apple negotiating spacex integrate starlink satellite connectivity 2026 iphone 18 pro models going enable direct cell service x com', 'apple free satellite service extended iphone 14 iphone 15 owners cnet apple free satellite service extended iphone 14 iphone 15 owners cnet']"
57,8,57_introducing_review apples_iphone air_air,"['introducing', 'review apples', 'iphone air', 'air', 'apples', 'design', 'iphone design', 'add', 'apples foldable', 'wear']","['introducing iphone air powerful new iphone breakthrough design apple introducing iphone air powerful new iphone breakthrough design apple', 'iphone air review apples slimmest iphone design triumph tradeoffs hothardware iphone air review apples slimmest iphone design triumph tradeoffs hothardware', 'review apples iphone air bunch small changes add something big ars technica review apples iphone air bunch small changes add something big ars technica']"
58,8,58_amazon_premium_iphone 15_deals,"['amazon', 'premium', 'iphone 15', 'deals', '15', '9to5toys', 'oneplus', 'sale 2025', 'sale', '15 pro']","['amazon great freedom festival sale 2025 live check offers iphone 15 galaxy s24 ultra oneplus 13r financial express amazon great freedom festival sale 2025 live check offers iphone 15 galaxy s24 ultra oneplus 13r financial express', 'unlocked iphone 15 pro 650 orig prices 744 amazon renewed premium 1 yr warranty 9to5toys unlocked iphone 15 pro 650 orig prices 744 amazon renewed premium 1 yr warranty 9to5toys', 'amazon sale 2025 highlights best deals iphone 15 oneplus 13 gaming laptops smartwatches gadgets 360 amazon sale 2025 highlights best deals iphone 15 oneplus 13 gaming laptops smartwatches gadgets 360']"
59,8,59_samsung_17 launch_series_tweet,"['samsung', '17 launch', 'series', 'tweet', 'times india', 'old', 'launch', '17 series', 'india', 'canada']","['samsung trolls iphone 17 series camera twitter triggering internet least dont fake moon pictures mashable india samsung trolls iphone 17 series camera twitter triggering internet least dont fake moon pictures mashable india', 'samsung revives old tweet mock apple iphone 17 launch icant india today samsung revives old tweet mock apple iphone 17 launch icant india today', 'iphone 17 launch samsung takes dig apple three year old tweet times india iphone 17 launch samsung takes dig apple three year old tweet times india']"
60,8,60_pro problems_fold_problems_iphone fold,"['pro problems', 'fold', 'problems', 'iphone fold', 'display', 'features macworld', 'delayed', 'intelligence iphone', 'apple accessory', 'truth']","['apple loop iphone 17 pro problems iphone airs heavy truth ios update warning forbes apple loop iphone 17 pro problems iphone airs heavy truth ios update warning forbes', 'applecare one apple intelligence iphone fold display problems appleinsider podcast appleinsider applecare one apple intelligence iphone fold display problems appleinsider podcast appleinsider', 'apple loop iphone 17 pro problems macbook pros ai potential ipad fold delayed forbes apple loop iphone 17 pro problems macbook pros ai potential ipad fold delayed forbes']"
61,8,61_emergency_apple issues_urgent_warning,"['emergency', 'apple issues', 'urgent', 'warning', '100 countries', 'installing', 'extremely', 'emergency issue', 'apple pushes', 'raises']","['apple releases iphone software update address emergency call issue forbes apple releases iphone software update address emergency call issue forbes', 'apple pushes emergency iphone update extremely sophisticated spyware attack experts advise installing immediately inc com apple pushes emergency iphone update extremely sophisticated spyware attack experts advise installing immediately inc com', 'apple issues urgent iphone update triple zero emergency call testing raises concerns 9news apple issues urgent iphone update triple zero emergency call testing raises concerns 9news']"
62,8,62_iphone 18_innovation_18_forbes apples,"['iphone 18', 'innovation', '18', 'forbes apples', 'power', '18 pro', 'phones', 'battery', '2026', 'sammy fans']","['samsung may borrow iphones battery innovation future phones sammy fans samsung may borrow iphones battery innovation future phones sammy fans', 'apple may boost iphone 18 pro max battery android phones hit 10 000mah techlusive apple may boost iphone 18 pro max battery android phones hit 10 000mah techlusive', 'iphone 18 pro fold apples next flagships promise power performance innovation daily pakistan iphone 18 pro fold apples next flagships promise power performance innovation daily pakistan']"
63,8,63_cinema_iphone camera_era_create,"['cinema', 'iphone camera', 'era', 'create', 'shots', 'heres proof', 'camera bgr', 'proof', 'camera', 'tech times']","['apple releases special haptic f1 trailer makes iphones shake speed heres watch financial express apple releases special haptic f1 trailer makes iphones shake speed heres watch financial express', 'iphone camera revolutionized f1 movies epic pov shots cinema iphone camera revolutionized f1 movies epic pov shots cinema', 'iphone 20 could true cinema camera heres proof hidden apples patents cinema iphone 20 could true cinema camera heres proof hidden apples patents cinema']"
64,8,64_refurbished_refurbished iphone_15 pro_15,"['refurbished', 'refurbished iphone', '15 pro', '15', 'iphone 15', 'store', 'pro pro', 'available', 'didnt know', 'afford']","['refurbished iphone 15 models available apple online store u canada macrumors refurbished iphone 15 models available apple online store u canada macrumors', 'apple selling refurbished iphone 15 pro pro max models much pay tom guide apple selling refurbished iphone 15 pro pro max models much pay tom guide', 'save 29 grade refurbished iphone 15 pro max 256gb mashable save 29 grade refurbished iphone 15 pro max 256gb mashable']"
65,8,65_laptop mag_laptop_mag_17 air,"['laptop mag', 'laptop', 'mag', '17 air', 'mag iphone', 'accessory', 'air', '17 airs', 'silicon', 'mini']","['apple iphone 17 air ready upgrade phone asap laptop mag apple iphone 17 air ready upgrade phone asap laptop mag', 'potential pain iphone 17 air could fixed ai report laptop mag potential pain iphone 17 air could fixed ai report laptop mag', 'iphone 17 air rumors thick thinnest iphone ever laptop mag iphone 17 air rumors thick thinnest iphone ever laptop mag']"
66,8,66_wi_wi fi_fi_issues,"['wi', 'wi fi', 'fi', 'issues', 'fix', 'fix iphone', 'working', '17 users', 'cutting', 'appears']","['wi fi cutting iphone 17 alone fix coming zdnet wi fi cutting iphone 17 alone fix coming zdnet', 'ios 26 1 beta appears fix iphone air 17 17 pro wi fi issues macworld ios 26 1 beta appears fix iphone air 17 17 pro wi fi issues macworld', 'fix wi fi issues ios 26 1 iphone wi fi working dropping connection slow os x daily fix wi fi issues ios 26 1 iphone wi fi working dropping connection slow os x daily']"
67,7,67_techradar_techradar months_buy new_months iphone,"['techradar', 'techradar months', 'buy new', 'months iphone', 'switched', 'months', 'android iphone', 'pro im', 'mad', 'pro reasons']","['switched refurbished iphone 16 never buy new phone techradar switched refurbished iphone 16 never buy new phone techradar', 'six months iphone 16 pro im still convinced action button techradar six months iphone 16 pro im still convinced action button techradar', 'four months iphone 17 pro changed way use phone jury still whether thats better worse techradar four months iphone 17 pro changed way use phone jury still whether thats better worse techradar']"
68,7,68_york times_new york_york_times,"['york times', 'new york', 'york', 'times', 'tab', 'people', 'apples new', 'apples', 'dragging', 'pro looks']","['opinion iphone drove men women apart new york times opinion iphone drove men women apart new york times', 'opinion old man iphone new york times opinion old man iphone new york times', 'iphone air apples impressive phone years people shouldnt buy new york times iphone air apples impressive phone years people shouldnt buy new york times']"
69,7,69_techradar_ultra_s25 ultra_galaxy s25,"['techradar', 'ultra', 's25 ultra', 'galaxy s25', 'samsung galaxy', 's25', 'techradar apple', 'love', 'smartphone', 'galaxy']","['ive fallen love iphone air ultra thin smartphone convinced apple still capable magic techradar ive fallen love iphone air ultra thin smartphone convinced apple still capable magic techradar', 'put samsung galaxy s25 ultra iphone 16 pro max heat wave survived techradar put samsung galaxy s25 ultra iphone 16 pro max heat wave survived techradar', 'took iphone 16 pro max samsung galaxy s25 ultra boardwalk photoshoot winner techradar took iphone 16 pro max samsung galaxy s25 ultra boardwalk photoshoot winner techradar']"
70,7,70_pcmag_pcmag apple_apple budget_phone feel,"['pcmag', 'pcmag apple', 'apple budget', 'phone feel', '17e apple', '16 vs', 'choice', 'budget phone', 'extra', 'review 2025']","['apple iphone 17 vs iphone 16 choice clear pcmag apple iphone 17 vs iphone 16 choice clear pcmag', 'tested iphone 17e apple budget phone feel cheap pcmag tested iphone 17e apple budget phone feel cheap pcmag', 'apple iphone 16 vs iphone 16e extra 100 worth pcmag apple iphone 16 vs iphone 16e extra 100 worth pcmag']"
71,7,71_releases_critical_apple releases_critical iphone,"['releases', 'critical', 'apple releases', 'critical iphone', 'billion iphones', 'features fixes', 'forbes', 'update new', 'forbes apple', 'millions']","['ios 26 2apple releases critical update 1 billion iphones forbes ios 26 2apple releases critical update 1 billion iphones forbes', 'apple releases ios 26 1 iphone urgent update new features fixes users forbes apple releases ios 26 1 iphone urgent update new features fixes users forbes', 'apple releases ios 26 3 1 critical iphone update new features fixes forbes apple releases ios 26 3 1 critical iphone update new features fixes forbes']"
72,7,72_iphone pocket_pocket_moneycontrol_20 000,"['iphone pocket', 'pocket', 'moneycontrol', '20 000', '000 iphone', 'moneycontrol com', '20', 'tweet', 'netizens', '000']","['amitabh bachchans socks iphone tweet internet splits fans call peak big b moneycontrol com amitabh bachchans socks iphone tweet internet splits fans call peak big b moneycontrol com', 'apples 20 000 iphone pocket sparks memes netizens compare sock curlytales com apples 20 000 iphone pocket sparks memes netizens compare sock curlytales com', 'apple introduces rs 20 000 iphone pocket gets trolled x fancy sock moneycontrol com apple introduces rs 20 000 iphone pocket gets trolled x fancy sock moneycontrol com']"
73,7,73_geeky_geeky gadgets_gadgets_ios 18,"['geeky', 'geeky gadgets', 'gadgets', 'ios 18', 'whats new', 'whats', '18', '10 ios', 'features make', 'gadgets 10']","['new features ios 26 worth upgrade geeky gadgets new features ios 26 worth upgrade geeky gadgets', 'ios 18 4 1 closer look new features fixes geeky gadgets ios 18 4 1 closer look new features fixes geeky gadgets', 'ios 18 7 2 whats new geeky gadgets ios 18 7 2 whats new geeky gadgets']"
74,7,74_beta_new ios_26 beta_26 public,"['beta', 'new ios', '26 beta', '26 public', 'public beta', '9to5mac new', 'public', 'added', '26 feature', 'feature apple']","['everything new ios 26 2 beta 2 bgr com everything new ios 26 2 beta 2 bgr com', 'everything new ios 26 beta 6 9to5mac everything new ios 26 beta 6 9to5mac', 'everything new ios 26 1 beta 1 9to5mac everything new ios 26 1 beta 1 9to5mac']"
75,7,75_pocket lint_lint_pocket_lint iphone,"['pocket lint', 'lint', 'pocket', 'lint iphone', '15 worth', '17 leak', 'welcome', 'answer', 'needs', 'important']","['4 things ive learned owning iphone 16 pro year pocket lint 4 things ive learned owning iphone 16 pro year pocket lint', 'apple iphone 17 air seeks redefine future phone pocket lint apple iphone 17 air seeks redefine future phone pocket lint', '4 best obscure iphone features using pocket lint 4 best obscure iphone features using pocket lint']"
76,7,76_android authority_authority_android_authority iphone,"['android authority', 'authority', 'android', 'authority iphone', 'fix android', 'pixel', '2024', 'convince', 'finally iphone', 'broke']","['iphone 18 pro may abandon apple signature dynamic island android authority iphone 18 pro may abandon apple signature dynamic island android authority', 'iphone 17 pro reviewed android user convince drop pixel android authority iphone 17 pro reviewed android user convince drop pixel android authority', 'apple iphone 15 problems fix android authority apple iphone 15 problems fix android authority']"
77,7,77_camera battery_new camera_camera_india,"['camera battery', 'new camera', 'camera', 'india', 'design', 'flip', 'pro whats', 'rumours', 'reveal new', 'max launch']","['apple iphone 18 pro max launch india price camera battery display design news24online com apple iphone 18 pro max launch india price camera battery display design news24online com', 'iphone 18 pro series tipped get big camera battery boosts know far mashable india iphone 18 pro series tipped get big camera battery boosts know far mashable india', 'bizarre iphone 17 pro max design leaked rumours show new camera exclusive ios 19 features international business times uk bizarre iphone 17 pro max design leaked rumours show new camera exclusive ios 19 features international business times uk']"
78,7,78_tried_android authority_authority_google,"['tried', 'android authority', 'authority', 'google', 'android', 'google new', 'pixel', 'apples budget', 'better worse', 'fantastic']","['iphone 16e single camera reminds simpler times better worse android authority iphone 16e single camera reminds simpler times better worse android authority', 'tried google new iphone camera app need android version asap android authority tried google new iphone camera app need android version asap android authority', 'pixel fan tried new iphone app made google camera team fantastic android authority pixel fan tried new iphone app made google camera team fantastic android authority']"
79,6,79_cnet ios_iphone features_ios 18_cnet,"['cnet ios', 'iphone features', 'ios 18', 'cnet', '18', 'features', '10 ios', 'know cnet', '10', '10 iphone']","['ios 18 4 ios 18 4 1 look newest iphone features reported issues bergen record ios 18 4 ios 18 4 1 look newest iphone features reported issues bergen record', 'ios 26 miss ios 18 2 iphone features cnet ios 26 miss ios 18 2 iphone features cnet', 'ios 19 forget iphone features ios 18 1 cnet ios 19 forget iphone features ios 18 1 cnet']"
80,6,80_mashable india_mashable_india apple_india,"['mashable india', 'mashable', 'india apple', 'india', 'apple ios', 'controls', 'lock screen', 'lock', 'confirms', '18 features']","['apple confirms ios 26 rollout whats new supported devices install mashable india apple confirms ios 26 rollout whats new supported devices install mashable india', 'apple ios 26 1 update fixed morning struggles new alarm feature else new mashable india apple ios 26 1 update fixed morning struggles new alarm feature else new mashable india', 'apple ios 26 2 public beta adds lock screen glass controls updated sleep scores mashable india apple ios 26 2 public beta adds lock screen glass controls updated sleep scores mashable india']"
81,6,81_tweet_looks_ruined_ruined battery,"['tweet', 'looks', 'ruined', 'ruined battery', 'unveil', 'struggle', 'indiatimes', 'fake', 'spark', 'star']","['apple unveil new emojis iphone update users say ruined battery life metro co uk apple unveil new emojis iphone update users say ruined battery life metro co uk', 'charlotte looks like iphone stephanie vaquer tweet looks awful charlotte flair struggle bullying fandomwire charlotte looks like iphone stephanie vaquer tweet looks awful charlotte flair struggle bullying fandomwire', 'bizarre visuals taylor swift emoji rumors spark chaos viral tweet dupes iphone users fake appl times india bizarre visuals taylor swift emoji rumors spark chaos viral tweet dupes iphone users fake appl times india']"
82,6,82_airpods_watch_apple watch_cool,"['airpods', 'watch', 'apple watch', 'cool', 'iphone apple', 'live', 'apple store', 'addresses', 'generation iphone', 'email']","['apple launches radically new iphone air plus major iphone watch airpods updates international data corporation apple launches radically new iphone air plus major iphone watch airpods updates international data corporation', 'get ready discover shop next generation iphone apple watch airpods apple get ready discover shop next generation iphone apple watch airpods apple', 'latest iphone apple watch airpods arrive apple store locations apple latest iphone apple watch airpods arrive apple store locations apple']"
83,6,83_case_review 2025_naked_spotted wild,"['case', 'review 2025', 'naked', 'spotted wild', 'pro spotted', 'alleged', '2025', 'experts', 'smartprix', 'giving iphone']","['alleged iphone 17 pro spotted wild giving iphone 4 flashbacks smartprix com alleged iphone 17 pro spotted wild giving iphone 4 flashbacks smartprix com', 'bare naked case iphone 17 pro comprehensive review 2025 thinborne bare naked case iphone 17 pro comprehensive review 2025 thinborne', 'pitaka iphone 17 pro max aramid proguard case review 2025 thinborne pitaka iphone 17 pro max aramid proguard case review 2025 thinborne']"
84,6,84_life test_results_max battery_battery life,"['life test', 'results', 'max battery', 'battery life', 'life', 'geeky gadgets', 'geeky', 'test', 'gadgets', 'blew away']","['iphone 17 pro max battery life absolutely destroys competition happygamer com iphone 17 pro max battery life absolutely destroys competition happygamer com', 'iphone 17 pro max battery life test results blew us away tom guide iphone 17 pro max battery life test results blew us away tom guide', 'iphone 17 battery life test results shock geeky gadgets iphone 17 battery life test results shock geeky gadgets']"
85,6,85_foldable_apple foldable_foldable iphone_battery,"['foldable', 'apple foldable', 'foldable iphone', 'battery', 'battery macrumors', 'apple plans', '16 battery', 'plans', 'vale', 'capacities']","['apple plans foldable iphone volume top greater battery capacity mix vale apple plans foldable iphone volume top greater battery capacity mix vale', 'apple first foldable could biggest ever iphone battery macrumors apple first foldable could biggest ever iphone battery macrumors', 'apple foldable iphone rumored feature unrivaled battery life macrumors apple foldable iphone rumored feature unrivaled battery life macrumors']"
86,6,86_lifehacker_released_older iphone_run,"['lifehacker', 'released', 'older iphone', 'run', 'important', 'shouldnt', 'public beta', 'final', '26 heres', 'bugs']","['first public beta ios 26 heres shouldnt install lifehacker first public beta ios 26 heres shouldnt install lifehacker', 'apple released important update solve ios 26 problems lifehacker apple released important update solve ios 26 problems lifehacker', 'apple released ios 26 3 new features lifehacker apple released ios 26 3 new features lifehacker']"
87,5,87_air review_apple thinnest_thinnest iphone_thinnest,"['air review', 'apple thinnest', 'thinnest iphone', 'thinnest', 'iphone air', 'review', 'swider iphone', 'purpose', 'matt swider', '999']","['iphone air review magic sheet glass expected tradeoffs gizmodo iphone air review magic sheet glass expected tradeoffs gizmodo', 'iphone air review four months later apple thinnest iphone worth 999 macrumors iphone air review four months later apple thinnest iphone worth 999 macrumors', 'iphone air review two weeks apple thinnest ever iphone shortcut matt swider iphone air review two weeks apple thinnest ever iphone shortcut matt swider']"
88,5,88_wired_wired apples_apples iphone_level iphone,"['wired', 'wired apples', 'apples iphone', 'level iphone', 'apples budget', 'entry level', 'iphone buy', 'avoid', 'entry', 'iphone 17e']","['apples iphone 17 pro models give exactly want wired apples iphone 17 pro models give exactly want wired', 'apples budget iphone 17e gets magsafe upgrade wired apples budget iphone 17e gets magsafe upgrade wired', 'still overpriced apples iphone 17e better entry level iphone wired still overpriced apples iphone 17e better entry level iphone wired']"
89,5,89_cnn_week_tested apple_599,"['cnn', 'week', 'tested apple', '599', 'tested', 'im', '17 week', 'really want', '17e', 'iphone 17e']","['599 iphone 17e truly good value used nearly week find cnn 599 iphone 17e truly good value used nearly week find cnn', 'tested apple iphone 17 week heres one buy cnn tested apple iphone 17 week heres one buy cnn', 'tested apple iphone air week im still sure buy cnn tested apple iphone air week im still sure buy cnn']"
90,5,90_magsafe_9to5mac apples_models macrumors_pack,"['magsafe', '9to5mac apples', 'models macrumors', 'pack', 'apples latest', 'air 9to5mac', 'bank', 'doesnt', '17 models', 'battery']","['apples discontinued magsafe battery pack doesnt stick iphones 9to5mac apples discontinued magsafe battery pack doesnt stick iphones 9to5mac', 'apple magsafe battery returns technically iphone air pcmag apple magsafe battery returns technically iphone air pcmag', 'apples latest magsafe battery accessory new firmware update u pulled 9to5mac apples latest magsafe battery accessory new firmware update u pulled 9to5mac']"
91,5,91_12_bgr_bgr com_12 iphone,"['12', 'bgr', 'bgr com', '12 iphone', 'features users', 'heres proof', 'things iphone', 'proof', 'mistakes', 'turn']","['apple watch series 10 another problem runners hate bgr com apple watch series 10 another problem runners hate bgr com', 'never 12 things iphone bgr com never 12 things iphone bgr com', '12 iphone features users say worst turn slashgear 12 iphone features users say worst turn slashgear']"
92,5,92_sales_investing_meyka apple_sq magazine,"['sales', 'investing', 'meyka apple', 'sq magazine', 'sq', 'meyka', 'connect', 'iphone sales', 'apples biggest', 'beats']","['apple beats q1 earnings estimates driven record iphone sales meyka apple beats q1 earnings estimates driven record iphone sales meyka', 'apple sales statistics 2025 iphone mac ipad performance sq magazine apple sales statistics 2025 iphone mac ipad performance sq magazine', 'apple delivers best iphone quarterly sales performance four years investing com apple delivers best iphone quarterly sales performance four years investing com']"
93,5,93_liquid glass_liquid_glass_love,"['liquid glass', 'liquid', 'glass', 'love', 'apples new', 'economic', 'explodes', 'economic times', 'explodes memes', 'event 2025']","['love hate apples new liquid glass design getting mixed reviews techcrunch love hate apples new liquid glass design getting mixed reviews techcrunch', 'liquid glass months love 3 features particular mashable liquid glass months love 3 features particular mashable', 'apple event 2025 liquid glass meltdown ios 26 redesign explodes memes backlash heres economic times apple event 2025 liquid glass meltdown ios 26 redesign explodes memes backlash heres economic times']"
94,5,94_iphone features_features coming_recent iphone_wwdc,"['iphone features', 'features coming', 'recent iphone', 'wwdc', 'apples best', 'wwdc 2025', 'express tribune', 'features 9to5mac', 'features ios', 'thanks']","['carplay get one apples best recent iphone features 9to5mac carplay get one apples best recent iphone features 9to5mac', '8 new iphone features coming soon thanks google gemini 9to5mac 8 new iphone features coming soon thanks google gemini 9to5mac', 'apple unveils latest features ios wwdc 2025 express tribune apple unveils latest features ios wwdc 2025 express tribune']"
